zona,data,faixa_horaria,tipo_ocorrencia,clima,evento_especial,denuncias_app_ultimas_24h,anomalias_cameras_ultimas_24h,risco_ocorrencia,volume_estimado
Vicente Pires,2025-07-07,06-12h,Furto,Céu limpo,Não,1,0,13,8
Vicente Pires,2025-06-29,12-18h,Roubo,Chuva,Sim,27,6,9,6
Jardim Botânico,2025-07-02,00-06h,Vandalismo,Nublado,Sim,8,5,44,0
Candangolândia,2025-07-07,12-18h,Todos,Nublado,Não,19,2,91,8
Águas Claras,2025-06-25,00-06h,Roubo,Chuva,Não,3,5,34,1
Sudoeste/Octogonal,2025-06-24,06-12h,Roubo,Nublado,Não,21,13,76,2
Sobradinho,2025-07-19,06-12h,Vandalismo,Nublado,Sim,23,12,77,4
Plano Piloto,2025-07-20,18-23h,Furto,Chuva,Sim,14,4,49,1
Park Way,2025-07-06,06-12h,Vandalismo,Céu limpo,Sim,16,7,49,4
Sobradinho,2025-06-21,18-23h,Vandalismo,Céu limpo,Não,26,11,0,6
Arniqueira,2025-07-15,18-23h,Furto,Chuva,Sim,10,2,57,0
Sobradinho,2025-07-17,00-06h,Furto,Chuva,Sim,23,2,97,7
Fercal,2025-06-24,00-06h,Roubo,Céu limpo,Sim,3,9,24,8
Sobradinho,2025-07-02,06-12h,Vandalismo,Nublado,Sim,27,4,65,4
Ceilândia,2025-07-20,18-23h,Todos,Nublado,Sim,16,11,62,3
Riacho Fundo II,2025-07-06,12-18h,Todos,Céu limpo,Sim,0,15,78,2
Brazlândia,2025-07-01,18-23h,Roubo,Chuva,Não,6,6,49,8
Park Way,2025-06-23,06-12h,Vandalismo,Nublado,Sim,29,5,8,2
Asa Sul,2025-07-11,00-06h,Roubo,Chuva,Sim,24,2,56,0
Taguatinga,2025-07-10,00-06h,Vandalismo,Nublado,Sim,26,4,82,5
Park Way,2025-07-04,06-12h,Vandalismo,Chuva,Não,5,12,30,0
Planaltina,2025-07-19,18-23h,Todos,Chuva,Sim,3,2,28,7
Santa Maria,2025-07-08,00-06h,Vandalismo,Chuva,Não,24,15,77,4
SCIA/Estrutural,2025-07-10,18-23h,Todos,Chuva,Não,30,7,11,4
Park Way,2025-07-08,12-18h,Vandalismo,Céu limpo,Sim,7,9,25,6
Sol Nascente/Pôr do Sol,2025-06-28,18-23h,Roubo,Chuva,Não,21,14,85,0
Núcleo Bandeirante,2025-07-01,12-18h,Furto,Céu limpo,Não,13,3,15,9
Jardim Botânico,2025-07-18,12-18h,Roubo,Nublado,Sim,17,7,36,7
Sol Nascente/Pôr do Sol,2025-06-27,18-23h,Todos,Nublado,Não,9,1,81,10
Ceilândia,2025-07-21,12-18h,Furto,Nublado,Não,27,13,88,10
Lago Norte,2025-07-10,00-06h,Furto,Chuva,Sim,5,1,52,5
SIA,2025-07-15,06-12h,Todos,Chuva,Não,23,10,26,6
Riacho Fundo,2025-07-15,18-23h,Todos,Céu limpo,Não,28,15,93,6
Sobradinho,2025-07-09,12-18h,Todos,Céu limpo,Sim,10,11,44,5
Samambaia,2025-06-29,00-06h,Roubo,Nublado,Não,13,3,49,1
Sobradinho,2025-07-02,18-23h,Roubo,Chuva,Sim,29,13,59,3
Sobradinho,2025-07-06,06-12h,Vandalismo,Chuva,Não,1,13,20,9
Gama,2025-07-01,12-18h,Vandalismo,Céu limpo,Não,26,6,97,5
Arniqueira,2025-07-01,06-12h,Todos,Céu limpo,Não,30,7,48,3
Plano Piloto,2025-07-12,18-23h,Todos,Céu limpo,Não,18,15,7,5
Riacho Fundo,2025-06-21,00-06h,Furto,Chuva,Não,30,15,40,9
Lago Sul,2025-07-15,18-23h,Furto,Chuva,Não,14,7,35,3
SIA,2025-07-05,18-23h,Todos,Céu limpo,Não,18,11,84,0
Ceilândia,2025-07-13,18-23h,Furto,Nublado,Sim,15,6,59,0
Águas Claras,2025-07-11,00-06h,Furto,Céu limpo,Não,12,15,31,9
Planaltina,2025-06-24,06-12h,Furto,Céu limpo,Não,28,9,74,4
Asa Sul,2025-07-13,00-06h,Furto,Céu limpo,Sim,16,4,72,6
Candangolândia,2025-06-26,18-23h,Furto,Chuva,Não,20,13,8,0
SIA,2025-07-17,06-12h,Vandalismo,Céu limpo,Sim,7,11,69,5
Samambaia,2025-06-29,12-18h,Roubo,Nublado,Não,25,2,85,6
São Sebastião,2025-07-01,18-23h,Furto,Chuva,Não,10,14,46,5
Gama,2025-06-27,06-12h,Roubo,Céu limpo,Não,3,10,90,5
Recanto das Emas,2025-07-12,00-06h,Vandalismo,Chuva,Não,30,11,56,3
Fercal,2025-07-15,18-23h,Furto,Céu limpo,Não,19,7,19,8
SIA,2025-07-14,00-06h,Furto,Céu limpo,Não,23,12,51,9
Sobradinho II,2025-07-10,06-12h,Todos,Nublado,Não,25,5,69,2
Gama,2025-06-21,18-23h,Furto,Céu limpo,Não,17,3,0,8
Recanto das Emas,2025-07-20,06-12h,Roubo,Céu limpo,Sim,1,4,95,1
Plano Piloto,2025-06-26,18-23h,Furto,Céu limpo,Não,20,13,38,1
Asa Norte,2025-07-11,06-12h,Furto,Céu limpo,Sim,7,11,68,0
Sobradinho II,2025-07-03,18-23h,Todos,Chuva,Sim,23,15,43,9
Riacho Fundo,2025-06-26,12-18h,Roubo,Chuva,Não,4,12,89,8
São Sebastião,2025-07-05,00-06h,Roubo,Céu limpo,Não,3,5,50,1
Recanto das Emas,2025-07-19,18-23h,Vandalismo,Céu limpo,Não,19,14,23,7
Asa Sul,2025-07-18,18-23h,Todos,Chuva,Sim,24,7,71,1
Ceilândia,2025-07-19,12-18h,Vandalismo,Céu limpo,Não,9,5,44,2
Riacho Fundo II,2025-06-25,06-12h,Todos,Céu limpo,Não,30,3,82,5
Gama,2025-06-27,00-06h,Roubo,Chuva,Sim,6,7,28,9
SCIA/Estrutural,2025-07-05,18-23h,Furto,Nublado,Sim,1,1,13,3
Candangolândia,2025-06-23,00-06h,Roubo,Nublado,Sim,21,14,59,4
Sobradinho,2025-07-15,12-18h,Vandalismo,Céu limpo,Não,30,10,47,7
Sol Nascente/Pôr do Sol,2025-07-11,00-06h,Furto,Chuva,Não,14,5,91,3
Candangolândia,2025-06-27,12-18h,Roubo,Nublado,Não,12,0,85,10
Lago Norte,2025-06-29,06-12h,Furto,Nublado,Sim,30,12,92,4
Varjão,2025-07-11,18-23h,Vandalismo,Céu limpo,Sim,27,0,62,8
Cruzeiro,2025-07-13,18-23h,Furto,Nublado,Sim,28,13,93,9
Lago Norte,2025-06-22,12-18h,Furto,Céu limpo,Não,26,12,59,8
Asa Norte,2025-07-21,06-12h,Todos,Céu limpo,Sim,24,13,96,8
São Sebastião,2025-07-05,00-06h,Todos,Céu limpo,Não,25,3,7,4
São Sebastião,2025-06-22,18-23h,Furto,Nublado,Sim,18,5,48,9
Candangolândia,2025-07-15,12-18h,Todos,Chuva,Não,28,4,91,7
São Sebastião,2025-07-19,18-23h,Todos,Nublado,Sim,8,2,64,6
Arniqueira,2025-07-19,00-06h,Furto,Nublado,Sim,18,13,57,3
Planaltina,2025-06-30,00-06h,Todos,Nublado,Não,22,0,11,9
São Sebastião,2025-06-24,06-12h,Vandalismo,Chuva,Sim,28,1,59,5
Sobradinho II,2025-07-20,06-12h,Furto,Céu limpo,Sim,3,3,45,2
Riacho Fundo II,2025-07-19,18-23h,Todos,Céu limpo,Não,3,3,12,0
Vicente Pires,2025-07-19,00-06h,Todos,Chuva,Não,28,2,79,10
Santa Maria,2025-07-03,06-12h,Vandalismo,Céu limpo,Sim,6,3,35,7
Asa Norte,2025-07-10,06-12h,Todos,Chuva,Não,11,3,91,2
Vicente Pires,2025-07-16,18-23h,Furto,Céu limpo,Não,10,10,94,5
Vicente Pires,2025-06-29,18-23h,Furto,Chuva,Não,2,14,93,9
SCIA/Estrutural,2025-06-25,12-18h,Todos,Chuva,Não,27,12,98,8
Ceilândia,2025-07-12,00-06h,Roubo,Céu limpo,Não,17,6,65,3
Plano Piloto,2025-07-20,18-23h,Roubo,Chuva,Não,26,15,57,2
Núcleo Bandeirante,2025-07-03,18-23h,Furto,Nublado,Sim,28,9,36,10
Riacho Fundo,2025-06-25,06-12h,Todos,Nublado,Não,7,3,17,3
Guará,2025-06-25,06-12h,Furto,Nublado,Sim,16,8,87,9
Lago Sul,2025-07-17,12-18h,Todos,Chuva,Sim,19,11,98,9
Planaltina,2025-06-24,18-23h,Todos,Nublado,Sim,22,5,65,1
Lago Sul,2025-06-27,00-06h,Vandalismo,Chuva,Sim,27,6,66,1
Riacho Fundo II,2025-06-25,12-18h,Roubo,Nublado,Não,15,0,93,6
Planaltina,2025-06-28,06-12h,Vandalismo,Nublado,Sim,5,15,89,4
Vicente Pires,2025-07-18,12-18h,Roubo,Céu limpo,Sim,22,1,55,3
Guará,2025-07-17,18-23h,Vandalismo,Nublado,Não,1,4,32,10
SCIA/Estrutural,2025-06-27,06-12h,Roubo,Céu limpo,Sim,7,11,96,9
Park Way,2025-07-12,00-06h,Roubo,Céu limpo,Sim,0,9,50,8
Águas Claras,2025-06-26,12-18h,Furto,Céu limpo,Sim,23,6,16,10
Guará,2025-07-09,18-23h,Roubo,Céu limpo,Não,25,2,24,9
Park Way,2025-07-10,18-23h,Todos,Nublado,Sim,15,7,43,7
Sol Nascente/Pôr do Sol,2025-07-17,00-06h,Furto,Nublado,Não,13,1,41,5
Park Way,2025-06-30,06-12h,Furto,Céu limpo,Sim,14,8,6,6
Asa Sul,2025-07-17,06-12h,Furto,Chuva,Sim,12,5,98,1
Riacho Fundo II,2025-06-28,18-23h,Roubo,Nublado,Não,28,5,37,6
Arniqueira,2025-06-27,00-06h,Vandalismo,Nublado,Não,20,6,25,6
Santa Maria,2025-06-29,00-06h,Todos,Céu limpo,Sim,24,9,58,3
Jardim Botânico,2025-06-28,18-23h,Vandalismo,Céu limpo,Não,16,12,44,10
Taguatinga,2025-07-21,00-06h,Vandalismo,Chuva,Não,10,5,26,5
Guará,2025-07-15,06-12h,Todos,Céu limpo,Não,26,8,55,8
Asa Sul,2025-07-11,12-18h,Furto,Nublado,Sim,30,15,43,4
Plano Piloto,2025-06-26,12-18h,Todos,Céu limpo,Não,2,1,25,0
Samambaia,2025-07-13,18-23h,Roubo,Nublado,Não,24,13,69,1
Vicente Pires,2025-07-20,06-12h,Furto,Chuva,Sim,12,1,21,3
Ceilândia,2025-07-13,00-06h,Furto,Céu limpo,Não,28,14,14,2
Guará,2025-07-17,06-12h,Todos,Nublado,Não,29,4,90,5
Asa Sul,2025-07-17,00-06h,Todos,Chuva,Não,17,13,46,7
SCIA/Estrutural,2025-07-12,12-18h,Roubo,Nublado,Sim,16,12,14,1
Candangolândia,2025-06-22,12-18h,Vandalismo,Céu limpo,Não,3,14,46,9
Lago Norte,2025-07-09,06-12h,Roubo,Céu limpo,Não,28,13,93,2
Ceilândia,2025-07-18,06-12h,Vandalismo,Céu limpo,Não,29,15,21,7
Candangolândia,2025-07-12,06-12h,Todos,Nublado,Não,13,5,11,7
Gama,2025-07-01,18-23h,Furto,Chuva,Não,9,5,2,4
SIA,2025-06-27,12-18h,Vandalismo,Chuva,Sim,8,8,7,2
Fercal,2025-07-09,00-06h,Todos,Nublado,Não,25,0,2,2
Asa Norte,2025-07-16,00-06h,Vandalismo,Nublado,Não,25,9,87,7
São Sebastião,2025-07-20,00-06h,Furto,Céu limpo,Sim,8,1,43,1
SIA,2025-07-20,18-23h,Furto,Céu limpo,Sim,26,8,5,2
Riacho Fundo,2025-06-26,18-23h,Todos,Céu limpo,Não,19,4,93,6
Taguatinga,2025-06-23,06-12h,Vandalismo,Chuva,Sim,30,1,32,1
Brazlândia,2025-07-09,18-23h,Vandalismo,Nublado,Sim,26,2,59,7
São Sebastião,2025-07-13,00-06h,Roubo,Chuva,Sim,21,10,17,8
Lago Sul,2025-07-07,00-06h,Todos,Céu limpo,Não,1,8,14,8
Sol Nascente/Pôr do Sol,2025-06-23,06-12h,Furto,Céu limpo,Sim,17,4,55,4
Planaltina,2025-07-02,12-18h,Vandalismo,Nublado,Não,10,9,83,2
Ceilândia,2025-07-20,06-12h,Vandalismo,Céu limpo,Não,21,15,91,4
Santa Maria,2025-07-17,06-12h,Todos,Nublado,Sim,29,13,17,8
Gama,2025-07-09,06-12h,Furto,Nublado,Sim,13,0,58,0
Asa Sul,2025-06-27,18-23h,Vandalismo,Nublado,Não,28,0,35,3
São Sebastião,2025-06-22,06-12h,Roubo,Nublado,Não,21,2,12,3
Cruzeiro,2025-07-18,12-18h,Roubo,Nublado,Não,29,0,69,7
Lago Norte,2025-07-04,18-23h,Vandalismo,Chuva,Não,22,13,34,8
Brazlândia,2025-06-21,18-23h,Todos,Céu limpo,Sim,17,7,8,9
Arniqueira,2025-07-11,18-23h,Furto,Chuva,Sim,29,6,66,6
Taguatinga,2025-07-18,00-06h,Vandalismo,Céu limpo,Sim,0,14,56,10
Varjão,2025-07-17,00-06h,Todos,Chuva,Sim,7,11,86,8
Núcleo Bandeirante,2025-06-25,12-18h,Roubo,Chuva,Não,23,3,71,6
Guará,2025-06-21,00-06h,Todos,Chuva,Não,27,3,50,6
Arniqueira,2025-06-23,12-18h,Todos,Chuva,Sim,13,4,87,9
SIA,2025-06-22,00-06h,Furto,Chuva,Não,10,9,64,7
Jardim Botânico,2025-07-11,18-23h,Todos,Chuva,Sim,1,14,54,7
Varjão,2025-07-10,00-06h,Roubo,Céu limpo,Sim,25,15,43,8
Sol Nascente/Pôr do Sol,2025-07-04,06-12h,Furto,Céu limpo,Não,6,6,75,4
Taguatinga,2025-07-20,18-23h,Vandalismo,Céu limpo,Não,18,3,93,10
Planaltina,2025-07-10,00-06h,Vandalismo,Chuva,Não,1,8,61,3
São Sebastião,2025-07-19,18-23h,Roubo,Céu limpo,Sim,0,15,100,10
Ceilândia,2025-06-28,06-12h,Roubo,Nublado,Sim,26,12,42,9
Taguatinga,2025-07-12,18-23h,Vandalismo,Chuva,Não,4,9,19,9
Guará,2025-07-11,18-23h,Vandalismo,Nublado,Sim,2,8,60,9
Plano Piloto,2025-07-16,00-06h,Todos,Nublado,Sim,0,12,49,4
Sobradinho II,2025-06-29,06-12h,Furto,Nublado,Não,25,14,27,2
Sobradinho,2025-07-09,18-23h,Vandalismo,Nublado,Não,12,6,59,7
Candangolândia,2025-07-16,12-18h,Furto,Chuva,Não,6,15,77,4
Samambaia,2025-06-26,06-12h,Vandalismo,Céu limpo,Não,26,9,80,7
São Sebastião,2025-06-27,18-23h,Todos,Nublado,Sim,8,11,85,0
Plano Piloto,2025-06-25,00-06h,Todos,Chuva,Não,28,8,64,3
SIA,2025-07-18,06-12h,Todos,Céu limpo,Sim,8,10,83,8
Lago Norte,2025-07-19,12-18h,Vandalismo,Céu limpo,Sim,27,13,53,4
Arniqueira,2025-07-04,18-23h,Vandalismo,Nublado,Sim,27,1,26,0
Varjão,2025-06-23,00-06h,Todos,Céu limpo,Não,23,9,19,7
Núcleo Bandeirante,2025-07-12,00-06h,Vandalismo,Céu limpo,Não,16,4,6,9
Ceilândia,2025-06-24,18-23h,Todos,Chuva,Não,9,9,97,0
Recanto das Emas,2025-07-01,12-18h,Todos,Nublado,Sim,0,3,39,7
SIA,2025-07-03,12-18h,Furto,Céu limpo,Não,23,8,57,1
Sudoeste/Octogonal,2025-06-29,06-12h,Roubo,Céu limpo,Não,20,1,41,3
Cruzeiro,2025-07-14,18-23h,Furto,Nublado,Sim,23,10,19,1
Samambaia,2025-07-06,18-23h,Roubo,Nublado,Não,26,1,19,9
Sol Nascente/Pôr do Sol,2025-07-05,06-12h,Todos,Nublado,Sim,29,4,91,0
Lago Sul,2025-07-04,12-18h,Todos,Céu limpo,Sim,20,14,59,9
Sobradinho II,2025-07-15,18-23h,Furto,Chuva,Sim,10,0,86,0
Park Way,2025-07-08,06-12h,Furto,Nublado,Não,30,0,70,2
Sol Nascente/Pôr do Sol,2025-06-27,06-12h,Furto,Céu limpo,Não,10,10,88,4
Cruzeiro,2025-07-01,12-18h,Todos,Nublado,Sim,21,2,16,10
Guará,2025-07-11,00-06h,Roubo,Céu limpo,Sim,14,6,62,0
Park Way,2025-06-28,12-18h,Todos,Céu limpo,Não,6,11,8,5
Riacho Fundo II,2025-07-03,12-18h,Roubo,Céu limpo,Não,27,8,95,7
Varjão,2025-07-06,18-23h,Todos,Chuva,Sim,24,4,14,2
Park Way,2025-06-29,12-18h,Furto,Céu limpo,Não,22,1,87,0
Fercal,2025-06-22,06-12h,Furto,Nublado,Não,15,7,88,6
Plano Piloto,2025-06-27,06-12h,Todos,Nublado,Sim,24,5,66,8
Gama,2025-06-22,00-06h,Furto,Chuva,Não,29,15,43,3
Brazlândia,2025-07-17,06-12h,Roubo,Céu limpo,Não,19,13,14,0
Park Way,2025-07-11,18-23h,Furto,Céu limpo,Não,30,6,36,4
Lago Norte,2025-07-19,12-18h,Furto,Chuva,Não,28,3,15,4
Arniqueira,2025-07-21,00-06h,Furto,Chuva,Sim,7,11,16,5
Asa Sul,2025-07-10,00-06h,Vandalismo,Chuva,Sim,22,4,58,0
Núcleo Bandeirante,2025-07-12,00-06h,Furto,Chuva,Sim,2,9,34,7
SCIA/Estrutural,2025-06-25,00-06h,Furto,Céu limpo,Sim,24,15,46,0
Park Way,2025-07-17,12-18h,Furto,Chuva,Não,28,3,63,8
Asa Norte,2025-07-08,00-06h,Furto,Chuva,Sim,0,0,39,8
Candangolândia,2025-07-01,06-12h,Todos,Céu limpo,Sim,6,3,24,6
Asa Norte,2025-07-03,18-23h,Roubo,Céu limpo,Não,29,3,9,3
Arniqueira,2025-07-07,18-23h,Vandalismo,Chuva,Não,13,5,15,10
Lago Norte,2025-06-21,12-18h,Vandalismo,Chuva,Não,1,4,52,10
Samambaia,2025-07-10,18-23h,Todos,Céu limpo,Sim,15,6,92,7
Varjão,2025-07-21,00-06h,Furto,Chuva,Sim,28,0,3,5
Núcleo Bandeirante,2025-06-23,18-23h,Todos,Nublado,Não,7,6,99,9
SIA,2025-06-26,00-06h,Todos,Céu limpo,Não,21,3,58,0
Brazlândia,2025-07-04,18-23h,Roubo,Nublado,Sim,3,10,40,6
São Sebastião,2025-07-10,18-23h,Todos,Céu limpo,Sim,7,1,4,3
Riacho Fundo II,2025-06-29,00-06h,Vandalismo,Céu limpo,Não,23,12,80,4
Cruzeiro,2025-06-25,18-23h,Vandalismo,Chuva,Não,1,1,67,6
Asa Norte,2025-06-22,18-23h,Furto,Nublado,Não,18,5,44,6
Lago Sul,2025-07-20,00-06h,Vandalismo,Nublado,Não,18,12,29,2
Sol Nascente/Pôr do Sol,2025-07-13,12-18h,Vandalismo,Céu limpo,Não,3,14,61,5
Itapoã,2025-07-18,06-12h,Roubo,Chuva,Sim,22,13,81,1
Cruzeiro,2025-07-07,18-23h,Vandalismo,Céu limpo,Não,13,1,59,1
Asa Norte,2025-07-20,12-18h,Vandalismo,Chuva,Sim,2,3,78,2
Gama,2025-07-11,00-06h,Vandalismo,Céu limpo,Sim,21,10,40,6
Santa Maria,2025-06-24,06-12h,Vandalismo,Chuva,Sim,27,14,64,6
Lago Norte,2025-07-04,18-23h,Vandalismo,Nublado,Não,9,13,4,7
Itapoã,2025-06-25,06-12h,Todos,Nublado,Não,1,2,48,1
Sudoeste/Octogonal,2025-07-10,00-06h,Roubo,Céu limpo,Sim,19,12,14,5
Águas Claras,2025-06-24,12-18h,Vandalismo,Céu limpo,Sim,5,6,56,3
SCIA/Estrutural,2025-07-05,12-18h,Furto,Chuva,Não,19,7,4,5
Sol Nascente/Pôr do Sol,2025-06-29,18-23h,Todos,Chuva,Não,19,12,70,8
Park Way,2025-06-30,00-06h,Todos,Nublado,Não,15,4,78,0
Taguatinga,2025-07-04,06-12h,Todos,Céu limpo,Sim,9,13,59,10
Jardim Botânico,2025-06-27,12-18h,Todos,Céu limpo,Sim,14,13,2,10
SIA,2025-07-08,12-18h,Roubo,Chuva,Sim,7,5,20,7
Asa Norte,2025-07-20,12-18h,Roubo,Chuva,Não,19,8,56,4
SIA,2025-07-17,18-23h,Todos,Chuva,Sim,11,2,92,8
Lago Norte,2025-07-08,12-18h,Roubo,Chuva,Sim,19,1,54,7
Itapoã,2025-07-08,12-18h,Todos,Chuva,Sim,10,9,99,2
Jardim Botânico,2025-06-22,12-18h,Furto,Céu limpo,Não,3,3,47,5
